date,A,B,C
1935-01-02,1001.1,1002.1,1003.2
1935-01-03,1003.2,1006.31,1009.52
1935-01-04,1001.1,1002.08,1003.16
1935-01-07,1008.5,1016.81,1025.33
1935-01-08,996.91,993.43,990.06
1935-01-09,995.81,991.34,986.89
1935-01-10,993.72,987.18,980.67
1935-01-11,973.74,947.39,921.44
1935-01-14,965.37,931.0,897.58
1935-01-15,943.26,888.36,835.91
1935-01-16,947.51,896.27,847.11
1935-01-17,962.29,924.14,886.67
1935-01-18,966.52,932.28,898.29
1935-01-21,977.06,952.6,927.66
1935-01-22,968.66,936.22,903.64
1935-01-23,968.66,936.22,903.64
1935-01-24,966.52,932.19,897.76
1935-01-25,971.74,942.35,912.4
1935-01-28,954.93,909.65,864.95
1935-01-29,945.48,891.64,839.18
1935-01-30,950.77,901.54,853.19
1935-01-31,958.19,915.51,873.07
1935-02-01,1052.37,1004.34,957.01
1935-02-04,1045.42,990.98,937.97
1935-02-05,1033.82,968.98,906.64
1935-02-06,1024.52,951.54,882.16
1935-02-07,1032.61,966.67,903.16
1935-02-08,1050.06,999.34,948.95
1935-02-11,1048.9,997.15,945.82
1935-02-13,1047.75,994.95,942.69
1935-02-14,1047.75,994.95,942.69
1935-02-15,1053.51,1006.0,958.34
1935-02-18,1086.07,1068.17,1047.18
1935-02-19,1068.58,1033.88,996.71
1935-02-20,1051.16,1000.17,947.87
1935-02-21,1050.01,997.97,944.74
1935-02-25,1029.11,958.15,888.25
1935-02-26,1018.62,938.7,861.15
1935-02-27,1022.08,945.09,870.02
1935-02-28,1016.25,934.31,855.15
1935-03-01,1122.62,1046.1,971.57
1935-03-04,1113.63,1029.47,948.35
1935-03-05,1081.67,970.48,866.8
1935-03-06,1079.08,965.92,860.64
1935-03-07,1093.11,991.03,894.29
1935-03-08,1090.59,986.38,888.03
1935-03-11,1062.45,935.58,819.39
1935-03-12,1042.05,899.56,772.11
1935-03-13,1045.91,906.22,780.6
1935-03-14,1029.28,877.49,743.45
1935-03-15,1051.0,914.52,790.51
1935-03-18,1039.54,894.49,764.58
1935-03-19,1054.82,920.88,798.37
1935-03-20,1053.56,918.67,795.5
1935-03-21,1075.26,956.52,844.66
1935-03-22,1091.82,986.07,883.77
1935-03-25,1075.22,956.1,843.47
1935-03-26,1066.3,940.23,822.46
1935-03-27,1077.82,960.53,849.03
1935-03-28,1079.11,962.84,852.09
1935-03-29,1079.11,962.84,852.09
1935-04-01,1191.73,1085.48,982.46
1935-04-02,1186.12,1075.27,968.61
1935-04-03,1183.28,1070.22,961.73
1935-04-04,1195.82,1092.91,992.31
1935-04-05,1225.12,1146.46,1065.25
1935-04-08,1225.12,1146.46,1065.25
1935-04-09,1247.42,1188.19,1123.52
1935-04-10,1241.8,1177.62,1108.46
1935-04-11,1234.85,1164.43,1089.73
1935-04-12,1248.8,1190.75,1126.67
1935-04-15,1273.9,1238.61,1194.61
1935-04-16,1146.89,991.76,837.42
1935-04-17,1257.11,1182.37,1078.85
1935-04-18,1275.21,1216.54,1125.56
1935-04-22,1312.83,1288.44,1225.29
1935-04-23,1317.03,1296.69,1237.05
1935-04-24,1300.31,1263.75,1189.92
1935-04-25,1317.08,1296.36,1235.85
1935-04-26,1311.55,1285.34,1220.15
1935-04-29,1310.11,1282.64,1216.25
1935-04-30,1294.78,1252.62,1173.56
1935-05-01,1387.25,1338.02,1252.93
1935-05-02,1393.21,1349.66,1269.21
1935-05-03,1415.78,1393.39,1330.77
1935-05-06,1415.78,1393.39,1330.77
1935-05-07,1409.84,1381.54,1313.87
1935-05-08,1450.44,1461.12,1427.39
1935-05-09,1456.39,1473.25,1445.09
1935-05-10,1465.42,1491.51,1471.97
1935-05-13,1472.89,1506.88,1494.64
1935-05-14,1474.36,1509.89,1499.27
1935-05-15,1475.84,1512.91,1503.92
1935-05-16,1375.18,1306.4,1196.07
1935-05-17,1504.45,1552.0,1533.36
1935-05-20,1486.4,1514.75,1478.15
1935-05-21,1499.92,1542.32,1518.51
1935-05-22,1511.92,1567.0,1554.95
1935-05-23,1513.44,1570.13,1559.62
1935-05-24,1505.87,1554.59,1536.38
1935-05-27,1507.37,1557.7,1540.99
1935-05-28,1480.39,1501.78,1458.08
1935-05-29,1456.41,1452.97,1387.07
1935-05-31,1439.81,1419.99,1339.78
1935-06-03,1554.28,1548.56,1480.38
1935-06-04,1594.54,1628.62,1595.25
1935-06-05,1592.94,1625.37,1590.47
1935-06-06,1581.63,1602.45,1556.75
1935-06-07,1591.28,1622.0,1585.24
1935-06-10,1612.13,1664.66,1647.7
1935-06-11,1628.25,1697.78,1696.96
1935-06-12,1617.01,1674.35,1661.84
1935-06-13,1626.71,1694.28,1691.58
1935-06-14,1642.82,1727.82,1741.65
1935-06-17,1642.82,1727.82,1741.65
